,system__count,shuttle_pre_scan_time,shuttle_scan_success_time,shuttle_post_scan_delay,shuttle_carrier_motion_time,shuttle_stopper_lowering_time,shuttle_pallet_release_time,shuttle_stopper_rising_time,l2_dispenser__dispenser_entry_unclamp_time,l2_dispenser__dispenser_delay_post_entry_unclamp,l2_dispenser__dispenser_pallet_lifting_1_time,l2_dispenser__dispenser_entry_clamping_time,l2_dispenser__dispenser_delay_post_clamping,l2_dispenser__dispenser_pallet_stopper_releasing_time,l2_dispenser__dispenser_delay_pre_gantry_positioning,l2_dispenser__dispenser_gantry_positioning_time,l2_dispenser__dispenser_dispensing_time,l2_dispenser__dispenser_pallet_unpositioning_time,l2_dispenser__dispenser_pallet_stopper_locking_time,l2_dispenser__dispenser_pre_exit_unclamping,l2_dispenser__dispenser_exit_unclamping,l2_dispenser__dispenser_post_exit_unclamp,l2_dispenser__dispenser_pallet_lowering_1,l2_dispenser__dispenser_stopper_lowering,l2_dispenser__dispenser_pallet_releasing,l2_dispenser__dispenser_stopper_rasing,l2_inspection__inspection_lifter_rising_time,l2_inspection__inspection_gantry_positioning_time,l2_inspection__inspection_core_vision_system_time,l2_inspection__inspection_post_vision_check_delay,l2_inspection__inspection_lifter_lowering_time,l2_inspection__inspection_pallet_releasing_time,timestamp,system__cycle_time,system__total_time,system__rolling_uph,system__ng_pallets,system__yield,system__total_units,system__total_pallets,system__ok_pallets
46,93.0,0.01,0.716,0.513,0.0,0.084,3.928,0.084,0.0,0.001,0.232,0.127,0.5,0.126,1.001,1.937,10.549,1.908,0.247,1.001,0.104,0.001,0.403,0.232,3.524,0.104,0.019,12.301,6.24,0.0,1.214,7.719,2026-01-24 04:14:05.195,18.6436,13059.12,98.0,0.0,100.0,451.0,451.0,451.0
47,95.0,0.01,1.402,0.512,0.0,0.103,3.923,0.084,0.0,0.002,0.232,0.145,0.5,0.125,1.002,1.937,10.565,1.915,0.249,0.999,0.105,0.005,0.401,0.23,3.523,0.104,0.0,12.34,6.232,0.0,1.21,7.818,2026-01-24 04:14:52.608,24.7057,13110.48,98.0,0.0,100.0,453.0,453.0,453.0
48,97.0,0.011,0.72,0.513,0.0,0.082,3.925,0.082,0.0,0.001,0.232,0.125,0.501,0.123,1.002,1.933,10.565,1.914,0.233,1.001,0.103,0.002,0.403,0.252,3.531,0.103,0.0,12.335,6.243,0.0,1.207,7.823,2026-01-24 04:15:36.665,27.2599,13157.91,98.0,0.0,100.0,455.0,455.0,455.0
49,99.0,0.011,0.718,0.515,0.001,0.102,3.923,0.088,0.0,0.001,0.23,0.145,0.5,0.125,1.002,1.936,10.555,1.914,0.25,1.001,0.106,0.0,0.404,0.25,3.517,0.103,0.0,12.346,6.235,0.0,1.202,7.721,2026-01-24 04:16:29.275,20.2965,13201.84,98.0,0.0,100.0,457.0,457.0,457.0
50,101.0,0.01,0.725,0.512,0.0,0.103,3.926,0.084,0.0,0.001,0.233,0.125,0.501,0.124,1.002,1.936,10.553,1.914,0.23,1.001,0.104,0.001,0.402,0.229,3.517,0.104,0.0,12.345,6.243,0.0,1.109,7.724,2026-01-24 04:17:16.242,23.7564,13254.38,98.0,0.0,100.0,459.0,459.0,459.0
51,103.0,0.012,0.708,0.513,0.0,0.083,3.921,0.083,0.0,0.001,0.231,0.125,0.501,0.126,1.003,1.931,10.56,1.913,0.249,1.0,0.103,0.001,0.402,0.25,3.526,0.103,0.0,12.302,6.23,0.0,1.207,7.818,2026-01-24 04:18:00.521,28.4122,13301.49,98.0,0.0,100.0,461.0,461.0,461.0
52,105.0,0.011,1.389,0.512,0.0,0.082,3.928,0.083,0.0,0.001,0.231,0.146,0.5,0.123,1.002,1.932,10.561,1.915,0.249,1.001,0.104,0.001,0.404,0.23,3.525,0.103,0.0,12.344,6.237,0.0,1.105,7.819,2026-01-24 04:18:52.078,19.7873,13345.72,98.0,0.0,100.0,463.0,463.0,463.0
53,107.0,0.01,1.388,0.512,0.0,0.085,3.92,0.082,0.0,0.002,0.231,0.144,0.5,0.126,1.001,1.94,10.565,1.912,0.248,1.0,0.105,0.001,0.403,0.23,3.526,0.101,0.0,12.349,6.237,0.0,1.209,7.718,2026-01-24 04:19:40.688,23.5037,13397.28,98.0,0.0,100.0,465.0,465.0,465.0
54,109.0,0.01,1.4,0.512,0.0,0.083,3.926,0.082,0.0,0.001,0.231,0.147,0.5,0.125,1.002,1.935,10.551,1.911,0.247,1.002,0.105,0.001,0.401,0.249,3.527,0.105,0.0,12.343,6.239,0.0,1.207,7.822,2026-01-24 04:20:23.569,29.1051,13446.0,98.0,0.0,100.0,467.0,467.0,467.0
55,111.0,0.01,0.722,0.513,0.0,0.083,3.932,0.081,0.001,0.001,0.232,0.125,0.5,0.126,1.002,1.935,10.561,1.909,0.246,1.0,0.102,0.001,0.402,0.25,3.527,0.104,0.0,12.336,6.236,0.0,1.212,7.816,2026-01-24 04:21:13.633,21.259,13488.88,98.0,0.0,100.0,469.0,469.0,469.0
56,113.0,0.01,0.719,0.512,0.0,0.102,3.924,0.084,0.0,0.001,0.231,0.146,0.5,0.123,1.002,1.939,10.565,1.906,0.25,1.001,0.103,0.001,0.401,0.23,3.522,0.103,0.0,12.334,6.237,0.0,1.109,7.725,2026-01-24 04:22:01.683,22.2232,13538.73,98.0,0.0,100.0,471.0,471.0,471.0
57,115.0,0.01,0.722,0.513,0.001,0.082,3.922,0.081,0.0,0.002,0.231,0.126,0.5,0.126,1.001,1.939,10.557,1.913,0.247,1.002,0.103,0.001,0.403,0.249,3.523,0.105,0.0,12.308,6.239,0.0,1.209,7.824,2026-01-24 04:22:44.912,27.8635,13586.96,98.0,0.0,100.0,473.0,473.0,473.0
58,117.0,0.01,1.387,0.51,0.0,0.083,3.924,0.082,0.0,0.001,0.233,0.144,0.501,0.122,1.002,1.939,10.557,1.912,0.25,1.0,0.102,0.002,0.402,0.248,3.525,0.103,0.0,12.336,6.24,0.0,1.143,7.82,2026-01-24 04:23:37.030,20.015,13630.15,98.0,0.0,100.0,475.0,475.0,475.0
59,119.0,0.012,1.392,0.513,0.0,0.083,3.925,0.093,0.001,0.0,0.233,0.145,0.5,0.124,1.002,1.942,10.549,1.915,0.251,1.0,0.105,0.001,0.403,0.229,3.526,0.104,0.0,12.302,6.25,0.0,1.207,7.822,2026-01-24 04:24:21.394,25.6027,13682.31,98.0,0.0,100.0,477.0,477.0,477.0
60,121.0,0.01,0.717,0.512,0.0,0.084,3.923,0.084,0.0,0.001,0.232,0.126,0.501,0.126,1.001,1.932,10.567,1.913,0.25,1.0,0.103,0.002,0.4,0.25,3.523,0.105,0.0,12.305,6.239,0.0,1.21,7.72,2026-01-24 04:25:16.094,25.127,13726.56,98.0,0.0,100.0,479.0,479.0,479.0
61,123.0,0.01,0.72,0.513,0.1,0.083,3.93,0.083,0.0,0.001,0.234,0.125,0.5,0.125,1.001,1.941,10.557,1.913,0.25,1.001,0.105,0.001,0.403,0.251,3.52,0.104,0.0,12.337,6.235,0.0,1.207,7.616,2026-01-24 04:26:04.598,26.2757,13781.18,98.0,0.0,100.0,481.0,481.0,481.0
