"timestamp","value","state_context"
"2026-02-03 19:35:51.959+00","290","CYCLE_COUNT"
"2026-02-03 19:36:02.98+00","291","CYCLE_COUNT"
"2026-02-03 19:36:14.002+00","292","CYCLE_COUNT"
"2026-02-03 19:36:26.524+00","293","CYCLE_COUNT"
"2026-02-03 19:36:37.043+00","294","CYCLE_COUNT"
"2026-02-03 19:36:48.566+00","295","CYCLE_COUNT"
"2026-02-03 19:37:01.087+00","296","CYCLE_COUNT"
"2026-02-03 19:37:13.611+00","297","CYCLE_COUNT"
"2026-02-03 19:37:21.625+00","298","CYCLE_COUNT"
"2026-02-03 19:37:32.146+00","299","CYCLE_COUNT"
"2026-02-03 19:37:45.17+00","300","CYCLE_COUNT"
"2026-02-03 19:37:53.184+00","301","CYCLE_COUNT"
"2026-02-03 19:38:04.705+00","302","CYCLE_COUNT"
"2026-02-03 19:38:16.226+00","303","CYCLE_COUNT"
"2026-02-03 19:38:27.746+00","304","CYCLE_COUNT"
"2026-02-03 19:38:38.766+00","305","CYCLE_COUNT"
"2026-02-03 19:38:48.785+00","306","CYCLE_COUNT"
"2026-02-03 19:38:59.805+00","307","CYCLE_COUNT"
"2026-02-03 19:39:15.331+00","308","CYCLE_COUNT"
"2026-02-03 19:39:23.35+00","309","CYCLE_COUNT"
"2026-02-03 19:39:34.371+00","310","CYCLE_COUNT"
"2026-02-03 19:39:43.389+00","311","CYCLE_COUNT"
"2026-02-03 19:39:55.407+00","312","CYCLE_COUNT"
"2026-02-03 19:40:05.926+00","313","CYCLE_COUNT"
"2026-02-03 19:40:18.451+00","314","CYCLE_COUNT"
"2026-02-03 19:40:26.966+00","315","CYCLE_COUNT"
"2026-02-03 19:40:38.988+00","316","CYCLE_COUNT"
"2026-02-03 19:40:49.006+00","317","CYCLE_COUNT"
"2026-02-03 19:41:00.026+00","318","CYCLE_COUNT"
"2026-02-03 19:41:14.552+00","319","CYCLE_COUNT"
"2026-02-03 19:41:22.064+00","320","CYCLE_COUNT"
"2026-02-03 19:41:33.093+00","321","CYCLE_COUNT"
"2026-02-03 19:41:44.61+00","322","CYCLE_COUNT"
"2026-02-03 19:41:55.13+00","323","CYCLE_COUNT"
"2026-02-03 19:42:07.153+00","324","CYCLE_COUNT"
"2026-02-03 19:42:17.673+00","325","CYCLE_COUNT"
"2026-02-03 19:42:29.193+00","326","CYCLE_COUNT"
